Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2024-03-17 01:00","6559","3746","246","3844","7733","-2229","3","94","466","265","24","138","0","1587",
"2024-03-17 01:05","6635","3752","246","3898","7511","-2082","2","95","467","254","25","137","0","1532",
"2024-03-17 01:10","6623","3763","246","3964","7557","-2053","2","94","467","250","25","136","0","1570",
"2024-03-17 01:15","6603","3766","242","4037","7461","-2351","0","94","467","245","24","135","-4","1563",
"2024-03-17 01:20","6575","3776","247","3997","7381","-2124","2","95","467","246","24","135","0","1559",
"2024-03-17 01:25","6510","3783","247","4057","7416","-2247","2","95","467","245","24","135","0","1521",
"2024-03-17 01:30","6441","3785","245","3999","7207","-2278","2","94","467","243","24","135","0","1557",
"2024-03-17 01:35","6465","3771","241","4005","7209","-2275","0","94","467","238","24","132","-4","1559",
"2024-03-17 01:40","6477","3758","243","4006","6977","-2189","0","95","467","237","25","127","-4","1562",
"2024-03-17 01:45","6492","3760","243","3966","6845","-2187","0","95","467","236","24","122","-4","1566",
"2024-03-17 01:50","6496","3759","242","4009","6899","-2194","0","95","467","234","24","122","-4","1566",
"2024-03-17 01:55","6494","3760","242","3941","6678","-2215","0","95","467","232","24","123","-4","1563",
"2024-03-17 02:00","6542","3759","242","3944","6797","-2319","0","95","467","234","25","123","-4","1555",
"2024-03-17 02:05","6520","3761","241","4011","7076","-2620","0","95","466","231","24","123","-4","1555",
"2024-03-17 02:10","6410","3759","243","4051","7005","-2563","0","94","466","229","24","123","-4","1528",
"2024-03-17 02:15","6416","3760","243","4015","6974","-2747","0","91","466","227","24","122","-4","1572",
"2024-03-17 02:20","6420","3769","247","3982","6893","-2655","3","85","466","229","24","122","0","1573",
"2024-03-17 02:25","6463","3775","243","3897","6791","-2567","0","78","466","224","24","123","-4","1577",
"2024-03-17 02:30","6433","3783","244","3908","6838","-2347","0","67","466","222","25","122","-4","1540",
"2024-03-17 02:35","6456","3790","245","3926","6881","-2599","3","55","466","226","24","123","0","1578",
"2024-03-17 02:40","6467","3798","242","3886","6798","-2660","0","46","466","222","24","123","-4","1573",
"2024-03-17 02:45","6394","3806","242","3859","6798","-2765","0","38","466","221","24","123","-4","1579",
"2024-03-17 02:50","6394","3813","246","3840","6776","-2634","3","24","466","225","25","123","0","1544",
"2024-03-17 02:55","6385","3822","243","3857","6509","-2416","0","21","466","221","24","122","-4","1580",
"2024-03-17 03:00","6395","3827","244","3832","6481","-2517","0","21","466","219","24","123","-4","1579",
"2024-03-17 03:05","6398","3838","243","3753","6079","-2275","0","21","466","218","25","123","-4","1581",
"2024-03-17 03:10","6352","3843","241","3683","6060","-2067","0","21","466","215","24","123","-4","1581",
"2024-03-17 03:15","6278","3850","240","3686","6125","-1842","0","21","466","215","25","122","-4","1581",
"2024-03-17 03:20","6237","3860","244","3704","6177","-2031","0","21","466","214","24","123","-4","1574",
"2024-03-17 03:25","6193","3866","242","3684","6084","-1906","0","21","466","214","24","126","-4","1576",
"2024-03-17 03:30","6147","3872","242","3732","6130","-1984","0","21","466","212","25","125","-4","1573",
"2024-03-17 03:35","6095","3880","242","3690","6046","-1965","0","21","466","211","24","123","-4","1572",
"2024-03-17 03:40","6072","3888","245","3689","6075","-1970","2","21","466","214","25","123","0","1572",
"2024-03-17 03:45","6036","3895","241","3667","5946","-1809","0","21","466","209","25","123","-4","1576",
"2024-03-17 03:50","6007","3904","244","3702","6087","-1848","0","22","466","209","24","123","-4","1573",
"2024-03-17 03:55","5915","3909","246","3722","6073","-1981","0","22","466","209","25","123","-4","1534",
"2024-03-17 04:00","5878","3920","248","3739","5916","-1735","3","22","466","212","25","122","0","1567",
"2024-03-17 04:05","5844","3926","247","3756","5908","-1761","3","21","466","213","25","122","0","1563",
"2024-03-17 04:10","5795","3934","247","3599","5951","-1779","3","21","466","213","25","122","0","1564",
"2024-03-17 04:15","5732","3943","241","3578","5971","-1498","0","20","466","209","25","123","-4","1528",
"2024-03-17 04:20","5699","3947","248","3616","6074","-1620","3","20","466","213","25","122","0","1565",
"2024-03-17 04:25","5669","3957","243","3625","6166","-1849","0","20","466","208","24","123","-4","1567",
"2024-03-17 04:30","5643","3953","243","3580","6160","-1883","0","20","466","209","24","122","-4","1567",
"2024-03-17 04:35","5671","3953","242","3555","6128","-1924","0","20","466","208","24","123","-4","1566",
"2024-03-17 04:40","5681","3963","244","3587","6158","-1810","0","20","466","207","25","123","-4","1530",
"2024-03-17 04:45","5701","3971","248","3566","6146","-1822","3","20","466","214","25","123","0","1572",
"2024-03-17 04:50","5690","3976","243","3582","6247","-1994","0","21","466","210","25","122","-4","1571",
"2024-03-17 04:55","5640","3981","243","3549","6358","-2048","0","20","466","210","25","123","-4","1570",
"2024-03-17 05:00","5583","3982","243","3559","6538","-2308","0","20","466","209","25","122","-4","1534",
"2024-03-17 05:05","5518","3985","243","3579","6565","-2125","0","20","464","211","26","122","-4","1574",
"2024-03-17 05:10","5515","4000","247","3606","6568","-1865","3","20","464","214","25","122","0","1574",
"2024-03-17 05:15","5499","4007","243","3622","6650","-1988","0","20","464","211","25","122","-4","1574",
"2024-03-17 05:20","5483","4019","243","3638","6683","-2087","0","20","464","211","26","122","-4","1531",
"2024-03-17 05:25","5432","4024","243","3641","6693","-2030","0","20","464","213","26","122","-4","1565",
"2024-03-17 05:30","5388","4031","243","3641","6680","-2168","0","20","464","213","26","123","-4","1565",
"2024-03-17 05:35","5300","4038","243","3617","6809","-2148","0","20","464","214","25","122","-4","1566",
"2024-03-17 05:40","5264","4044","243","3649","6839","-2253","0","20","464","214","25","122","-4","1570",
"2024-03-17 05:45","5191","4051","243","3626","6837","-2240","0","20","464","214","25","122","-4","1569",
"2024-03-17 05:50","5213","4060","241","3649","6847","-2100","0","20","464","213","26","122","-4","1570",
"2024-03-17 05:55","5196","4062","243","3639","7048","-2358","0","20","464","214","26","122","-4","1567",
"2024-03-17 06:00","5163","4060","242","3716","7171","-2531","0","20","464","214","26","122","-4","1570",
"2024-03-17 06:05","5084","4059","241","3881","7157","-2235","0","20","466","214","26","122","-4","1567",
"2024-03-17 06:10","5024","4059","247","3985","7236","-2229","2","20","466","218","26","122","0","1571",
"2024-03-17 06:15","4956","4063","243","4022","7258","-2387","0","20","466","213","25","122","-4","1569",
"2024-03-17 06:20","4966","4068","247","4045","7368","-2422","2","20","466","216","25","122","0","1566",
"2024-03-17 06:25","4929","4070","247","4047","7377","-2337","2","20","466","217","26","122","0","1527",
"2024-03-17 06:30","4873","4068","243","4048","7381","-2434","0","20","466","212","23","122","-4","1565",
"2024-03-17 06:35","4886","4067","247","4010","7467","-2475","7","21","466","218","22","123","0","1566",
"2024-03-17 06:40","4871","4068","243","3999","7462","-2308","3","21","466","215","23","122","-4","1564",
"2024-03-17 06:45","4831","4067","243","4015","7440","-2184","3","21","466","217","23","122","-4","1562",
"2024-03-17 06:50","4815","4067","247","3992","7461","-1904","7","21","466","221","24","122","0","1561",
"2024-03-17 06:55","4768","4067","243","3997","7509","-1990","10","21","466","218","23","122","-4","1563",
"2024-03-17 07:00","4772","4068","242","4020","7548","-2087","11","20","466","219","22","122","-4","1573",
"2024-03-17 07:05","4829","4073","243","4213","7583","-2389","20","20","470","220","23","122","-4","1575",
"2024-03-17 07:10","4840","4072","243","4299","7938","-2684","25","21","470","220","23","123","-4","1536",
"2024-03-17 07:15","4804","4075","243","4271","7622","-2629","33","21","470","221","23","122","-4","1568",
"2024-03-17 07:20","4804","4075","243","4267","7584","-2306","62","21","470","222","22","122","-4","1564",
"2024-03-17 07:25","4806","4075","244","4236","7503","-2408","103","21","470","221","23","122","-4","1571",
"2024-03-17 07:30","4748","4072","242","4208","7454","-2575","201","20","470","221","22","122","-4","1567",
"2024-03-17 07:35","4711","4073","243","4213","7452","-2539","316","21","470","220","23","122","-4","1567",
"2024-03-17 07:40","4650","4074","242","4182","7293","-2278","479","22","470","221","23","122","-4","1568",
"2024-03-17 07:45","4586","4072","242","4146","7034","-2352","762","21","470","224","23","122","-4","1573",
"2024-03-17 07:50","4521","4076","243","4161","6596","-2236","1102","21","470","224","23","122","-4","1573",
"2024-03-17 07:55","4522","4075","243","4080","6493","-2456","1486","20","470","224","23","123","-4","1578",
"2024-03-17 08:00","4511","4076","242","4036","6616","-2866","1884","20","470","223","23","123","-4","1571",
"2024-03-17 08:05","4443","4078","242","3612","6980","-3005","2393","21","463","226","23","122","-4","1550",
"2024-03-17 08:10","4414","4086","244","3299","7227","-3301","2849","21","463","227","24","122","-4","1533",
"2024-03-17 08:15","4384","4099","242","3152","7317","-3657","3391","20","463","228","22","122","-4","1527",
"2024-03-17 08:20","4294","4104","246","3072","7050","-3757","3970","20","463","235","23","122","0","1529",
"2024-03-17 08:25","4233","4114","248","2928","6785","-3890","4574","18","463","235","23","122","0","1516",
"2024-03-17 08:30","4171","4120","246","2747","6458","-3782","5168","18","463","233","23","123","0","1491",
"2024-03-17 08:35","4131","4125","247","2740","6028","-3820","5914","18","463","239","23","123","0","1450",
"2024-03-17 08:40","4055","4125","246","2744","5263","-3500","6486","20","463","238","22","123","0","1489",
"2024-03-17 08:45","4054","4127","244","2743","4739","-3729","7109","20","463","237","23","123","-4","1488",
"2024-03-17 08:50","4010","4128","248","2758","4115","-3694","7825","21","463","242","27","123","0","1490",
"2024-03-17 08:55","3965","4136","247","2681","3901","-3779","8379","21","463","243","38","123","0","1453",
"2024-03-17 09:00","3852","4142","247","2694","3462","-3264","8966","21","463","248","47","123","0","1481",
"2024-03-17 09:05","3815","4144","243","2660","3248","-3389","9095","27","468","248","47","123","-4","1483",
"2024-03-17 09:10","3803","4158","243","2552","3379","-3587","9549","38","468","249","48","122","-4","1483",
"2024-03-17 09:15","3775","4161","243","2416","3237","-3787","10000","49","468","254","47","123","-4","1483",
"2024-03-17 09:20","3628","4161","243","2512","3176","-4054","10295","73","468","255","47","123","-4","1487",
"2024-03-17 09:25","3435","4165","243","2527","2734","-3791","10777","95","468","258","47","123","-4","1478",
"2024-03-17 09:30","3318","4173","243","2506","2724","-3842","10943","132","468","258","48","123","-4","1473",
"2024-03-17 09:35","3257","4181","243","2522","2648","-3623","11069","161","468","263","46","123","-3","1473",
"2024-03-17 09:40","3196","4189","243","2515","2574","-3336","11051","206","468","260","46","123","-4","1449",
"2024-03-17 09:45","3170","4197","243","2487","2512","-3584","11359","254","468","263","45","123","-4","1479",
"2024-03-17 09:50","2999","4203","244","2442","2588","-3788","11488","297","468","263","46","123","-3","1474",
"2024-03-17 09:55","2977","4211","247","2331","2356","-3463","11749","339","468","268","45","122","0","1472",
"2024-03-17 10:00","2946","4219","244","2374","2481","-3926","11970","396","468","268","43","122","-3","1430",
"2024-03-17 10:05","3064","4225","243","2198","2387","-4354","12587","437","456","268","43","123","-3","1460",
"2024-03-17 10:10","3114","4232","244","2036","2262","-4680","13092","500","456","266","43","122","-3","1466",
"2024-03-17 10:15","3143","4240","247","1954","2276","-4676","13129","569","456","272","42","123","0","1457",
"2024-03-17 10:20","3171","4248","244","1918","2225","-4760","13211","619","456","267","43","122","-3","1448",
"2024-03-17 10:25","3167","4256","243","1896","2219","-4721","13407","662","456","270","42","123","-3","1453",
"2024-03-17 10:30","3234","4264","246","1883","2091","-4716","13165","712","456","268","42","123","-3","1449",
"2024-03-17 10:35","3240","4271","247","1887","2089","-4727","13210","747","456","265","43","122","-3","1447",
"2024-03-17 10:40","3297","4277","247","1864","1987","-4857","13305","785","456","273","43","122","0","1443",
"2024-03-17 10:45","3284","4285","244","1872","1895","-4945","13422","816","456","265","45","123","-3","1443",
"2024-03-17 10:50","3208","4295","249","1890","1854","-4758","13407","843","456","268","55","123","0","1440",
"2024-03-17 10:55","3237","4301","244","1844","1798","-4853","13564","869","456","266","53","123","-3","1442",
"2024-03-17 11:00","3224","4311","243","1867","1657","-5189","13670","884","456","269","54","123","0","1444",
"2024-03-17 11:05","3111","4319","246","1895","1615","-5063","14000","881","450","265","53","123","0","1408",
"2024-03-17 11:10","3100","4320","243","1900","1508","-5231","14240","880","450","265","54","123","-3","1438",
"2024-03-17 11:15","3116","4332","243","1924","1515","-5127","14074","868","450","264","53","122","0","1439",
"2024-03-17 11:20","3032","4339","243","1937","1528","-5133","14133","851","450","263","53","123","-3","1435",
"2024-03-17 11:25","3035","4345","246","1942","1531","-5464","14358","848","450","270","52","123","0","1439",
"2024-03-17 11:30","2965","4355","246","1918","1507","-5535","14576","841","450","269","49","123","0","1432",
"2024-03-17 11:35","2961","4360","242","1867","1406","-5477","14423","850","450","263","52","123","-3","1432",
"2024-03-17 11:40","2918","4362","244","1843","1436","-5510","14528","862","450","265","52","123","-2","1433",
"2024-03-17 11:45","2917","4363","246","1822","1426","-5346","14398","865","450","268","52","123","0","1428",
"2024-03-17 11:50","2913","4368","246","1853","1453","-5493","14393","863","450","266","52","123","0","1407",
"2024-03-17 11:55","2905","4370","246","1830","1387","-5423","14508","854","450","263","52","123","0","1415",
"2024-03-17 12:00","3098","4371","247","1823","1328","-5805","14418","853","450","263","49","123","-2","1410",
"2024-03-17 12:05","3116","4375","247","1820","1153","-5622","14714","840","448","262","49","122","-3","1412",
"2024-03-17 12:10","3125","4377","249","1819","931","-5430","14823","831","448","264","50","122","0","1385",
"2024-03-17 12:15","3137","4379","247","1806","1093","-5638","14852","828","448","263","52","123","-2","1420",
"2024-03-17 12:20","3140","4383","247","1827","1182","-5324","14541","820","448","262","51","123","-2","1421",
"2024-03-17 12:25","3144","4388","245","1841","1304","-5903","14656","810","448","262","51","123","-2","1420",
"2024-03-17 12:30","3176","4387","248","1851","1252","-5746","14804","810","448","263","53","123","0","1420",
"2024-03-17 12:35","3144","4390","246","1873","1240","-5754","14808","828","448","261","51","123","-2","1418",
"2024-03-17 12:40","3117","4395","247","1825","1162","-5512","14671","841","448","259","53","123","-2","1416",
"2024-03-17 12:45","3092","4398","246","1814","1167","-5624","14699","850","448","256","54","122","-2","1411",
"2024-03-17 12:50","3112","4400","244","1777","1065","-5217","14457","871","448","259","54","123","-2","1406",
"2024-03-17 12:55","3068","4401","243","1797","1120","-5374","14694","877","448","254","55","123","-2","1405",
"2024-03-17 13:00","3059","4404","245","1825","1113","-5329","14690","877","448","258","55","123","0","1415",
"2024-03-17 13:05","3123","4403","243","1866","1133","-5757","15070","868","448","256","56","123","-2","1416",
"2024-03-17 13:10","3123","4407","243","1848","1075","-5754","15087","858","448","255","57","122","-2","1421",
"2024-03-17 13:15","3133","4410","246","1838","1004","-5613","14911","847","448","257","56","123","0","1389",
"2024-03-17 13:20","2993","4414","244","1876","1055","-5452","15058","843","448","257","58","123","0","1415",
"2024-03-17 13:25","2965","4417","247","1925","1133","-5434","15014","826","448","252","59","123","-2","1422",
"2024-03-17 13:30","2998","4416","246","1938","1165","-5570","15061","838","448","258","58","123","0","1421",
"2024-03-17 13:35","2962","4420","245","1959","1203","-5420","14996","849","448","254","58","123","-2","1388",
"2024-03-17 13:40","2961","4424","245","1989","1243","-5679","15081","862","448","253","57","123","-2","1421",
"2024-03-17 13:45","2984","4426","246","1999","1242","-5402","15123","867","448","264","57","123","-2","1415",
"2024-03-17 13:50","2961","4429","244","2017","1271","-5366","14936","848","448","256","57","123","-2","1413",
"2024-03-17 13:55","2898","4429","246","2019","1261","-5425","15124","845","448","257","58","122","-2","1413",
"2024-03-17 14:00","2867","4434","252","2038","1305","-5101","15008","829","448","258","57","123","0","1414",
"2024-03-17 14:05","2861","4437","248","2074","1411","-5770","15340","811","448","259","57","122","0","1414",
"2024-03-17 14:10","2908","4439","247","2025","1371","-5623","15524","780","448","261","56","123","0","1414",
"2024-03-17 14:15","2983","4440","247","2016","1314","-5733","15386","768","448","259","57","123","-2","1418",
"2024-03-17 14:20","2977","4444","246","1991","1263","-5929","15348","778","448","257","57","123","-2","1385",
"2024-03-17 14:25","2925","4447","246","1983","1210","-5926","15237","793","448","258","56","123","-2","1419",
"2024-03-17 14:30","2914","4447","245","1985","1174","-5797","15200","793","448","255","56","122","-2","1424",
"2024-03-17 14:35","2907","4450","245","1984","1247","-5705","15138","790","448","254","56","123","-2","1421",
"2024-03-17 14:40","2839","4454","245","2008","1322","-5543","14947","789","448","257","56","123","-2","1391",
"2024-03-17 14:45","2784","4457","247","1955","1221","-5574","15102","788","448","254","54","123","-2","1424",
"2024-03-17 14:50","2701","4459","248","1982","1160","-5809","15105","782","448","256","54","123","0","1425",
"2024-03-17 14:55","2662","4459","246","2008","1203","-5322","14618","763","448","255","55","123","0","1419",
"2024-03-17 15:00","2634","4464","246","1965","1167","-4943","14452","743","448","255","57","123","-2","1423",
"2024-03-17 15:05","2576","4466","247","1965","1156","-4998","14481","720","447","256","58","123","0","1428",
"2024-03-17 15:10","2523","4470","246","1963","1154","-4902","14357","708","447","252","56","123","-2","1429",
"2024-03-17 15:15","2457","4472","245","1967","1136","-4934","14264","704","447","250","57","123","-2","1422",
"2024-03-17 15:20","2365","4475","245","1997","1188","-4840","14254","723","447","249","57","122","-2","1424",
"2024-03-17 15:25","2420","4477","246","1987","1237","-5141","14272","725","447","251","56","123","-2","1425",
"2024-03-17 15:30","2390","4478","249","1993","1258","-5163","14373","731","447","246","56","123","-2","1422",
"2024-03-17 15:35","2377","4481","245","1990","1285","-4935","14066","739","447","247","56","122","-2","1423",
"2024-03-17 15:40","2381","4483","245","2076","1434","-4924","13928","755","447","246","57","123","-3","1419",
"2024-03-17 15:45","2411","4485","245","2160","1482","-5020","13792","775","447","249","57","123","-3","1415",
"2024-03-17 15:50","2357","4488","245","2216","1516","-4784","13600","777","447","248","56","123","-3","1420",
"2024-03-17 15:55","2373","4490","244","2213","1437","-5151","13512","780","447","245","57","123","-3","1423",
"2024-03-17 16:00","2346","4493","244","2173","1532","-4851","13188","767","447","246","54","123","-3","1424",
"2024-03-17 16:05","2500","4495","247","2243","1566","-4552","12814","745","449","249","58","123","0","1395",
"2024-03-17 16:10","2526","4495","245","2376","1638","-4639","12596","724","449","244","58","122","-2","1428",
"2024-03-17 16:15","2518","4499","245","2448","1694","-4715","12779","711","449","246","57","123","-3","1426",
"2024-03-17 16:20","2476","4504","244","2483","1895","-4492","12197","700","449","243","56","123","-3","1429",
"2024-03-17 16:25","2447","4505","244","2629","2251","-4508","11896","699","449","246","58","123","-3","1430",
"2024-03-17 16:30","2478","4509","244","2866","2685","-4856","11831","694","449","244","57","123","-3","1428",
"2024-03-17 16:35","2457","4512","244","2830","3048","-4694","11462","666","449","246","57","123","-3","1429",
"2024-03-17 16:40","2452","4513","244","2931","3220","-4618","11074","659","449","244","59","123","-3","1434",
"2024-03-17 16:45","2468","4518","244","3162","3567","-5219","10795","647","449","244","58","123","-3","1431",
"2024-03-17 16:50","2443","4520","244","3090","3564","-4846","10693","651","449","245","57","123","-4","1429",
"2024-03-17 16:55","2382","4522","247","2886","4222","-4625","10115","660","449","246","57","123","-4","1436",
"2024-03-17 17:00","2382","4524","244","3030","4441","-4458","9766","665","449","247","57","123","-4","1436",
"2024-03-17 17:05","2403","4525","244","3360","4320","-4223","9370","665","458","248","56","123","-4","1444",
"2024-03-17 17:10","2392","4530","243","3424","4024","-3992","9119","660","458","246","57","123","-4","1403",
"2024-03-17 17:15","2351","4530","243","3462","3715","-3205","8867","657","458","247","58","122","-4","1431",
"2024-03-17 17:20","2298","4535","243","3553","4067","-2912","8293","655","458","248","64","123","-4","1440",
"2024-03-17 17:25","2248","4537","243","3626","4782","-3104","7926","635","458","250","71","123","-4","1440",
"2024-03-17 17:30","2199","4539","243","3772","5612","-3800","7502","634","458","255","81","122","-4","1440",
"2024-03-17 17:35","2200","4541","243","3777","5941","-3409","7032","626","458","257","93","123","-4","1441",
"2024-03-17 17:40","2208","4545","243","3946","6266","-3335","6413","613","458","260","97","123","-4","1447",
"2024-03-17 17:45","2190","4548","243","4205","6564","-3429","6055","597","458","259","97","123","-4","1449",
"2024-03-17 17:50","2173","4546","243","4307","7252","-3673","5574","599","458","263","97","123","-4","1455",
"2024-03-17 17:55","2072","4554","243","4341","7404","-3303","5235","597","458","268","101","123","-4","1467",
"2024-03-17 18:00","2028","4553","244","4356","7550","-2795","4786","577","458","270","106","123","-4","1476",
"2024-03-17 18:05","2032","4556","242","4420","7235","-1745","4226","561","463","271","106","122","-5","1495",
"2024-03-17 18:10","1968","4558","244","4552","7131","-1300","3820","550","463","276","109","123","-5","1516",
"2024-03-17 18:15","1982","4562","243","4774","7449","-1211","3385","534","463","281","113","123","-5","1534",
"2024-03-17 18:20","1992","4565","242","4839","7677","-1364","3214","518","463","287","117","123","-5","1542",
"2024-03-17 18:25","2027","4566","243","5085","7860","-1461","2878","510","463","293","119","123","-5","1550",
"2024-03-17 18:30","2008","4568","243","5197","8201","-1278","2488","505","463","294","116","122","-5","1542",
"2024-03-17 18:35","1939","4573","242","5126","8871","-1313","2117","503","463","289","128","123","-5","1546",
"2024-03-17 18:40","1905","4575","243","5259","9307","-1263","1781","482","463","290","129","123","-5","1561",
"2024-03-17 18:45","1851","4576","243","5556","9699","-1616","1514","463","463","295","129","126","-5","1566",
"2024-03-17 18:50","1799","4579","242","5835","10017","-1464","1221","401","463","301","131","131","-5","1572",
"2024-03-17 18:55","1785","4582","242","6022","10128","-1482","995","393","463","303","130","137","-5","1577",
"2024-03-17 19:00","1768","4584","242","5991","10246","-1104","775","371","463","308","131","142","-6","1584",
"2024-03-17 19:05","1743","4587","243","5704","10152","-320","604","365","472","315","135","144","-6","1588",
"2024-03-17 19:10","1721","4591","242","5688","10406","-356","455","370","472","317","138","146","-6","1588",
"2024-03-17 19:15","1728","4594","242","5756","10619","-311","324","373","472","325","150","145","-6","1601",
"2024-03-17 19:20","1731","4592","242","5958","10879","-318","177","379","472","326","163","144","-6","1575",
"2024-03-17 19:25","1741","4597","242","6092","11035","-191","110","381","472","331","162","144","-6","1615",
"2024-03-17 19:30","1737","4597","242","6147","11164","-152","61","388","472","331","161","152","-6","1624",
"2024-03-17 19:35","1717","4602","242","6293","11197","16","40","398","472","327","161","163","-6","1635",
"2024-03-17 19:40","1735","4604","242","6362","11188","-47","36","402","472","324","161","172","-6","1600",
"2024-03-17 19:45","1724","4606","241","6416","11236","298","33","397","472","323","156","172","-6","1646",
"2024-03-17 19:50","1708","4611","242","6612","11281","250","30","400","472","332","139","171","-6","1645",
"2024-03-17 19:55","1705","4614","242","6696","11273","135","25","403","472","330","129","172","-6","1641",
"2024-03-17 20:00","1694","4613","242","6665","11015","620","24","401","472","338","124","178","-6","1641",
"2024-03-17 20:05","1673","4616","241","6210","10713","1636","10","398","476","340","112","192","-6","1644",
"2024-03-17 20:10","1643","4620","241","6079","10588","2091","10","394","476","345","120","204","-6","1642",
"2024-03-17 20:15","1617","4623","242","6009","10642","2354","10","380","476","345","118","216","-6","1644",
